0	0	0	44300
0	0	0	10000
0	0	0	50000
0	0	0	66400
0	0	0	50000
0	0	0	33500
0	0	0	67200
0	0	0	56000
0	0	0	15800
0	0	0	63400
0	0	0	39100
0	0	0	54300
0	0	0	50000
0	0	0	66100
0	0	0	50000
0	0	0	20300
0	0	0	10000
0	0	0	50000
0	0	0	28900
0	0	0	148700
0	0	0	100800
0	0	0	33500
0	0	0	67500
0	0	0	63100
0	0	0	49000
0	0	0	17200
0	0	0	67100
0	0	0	151500
0	0	0	128800
1.83586958716801e-06	0	0	16900
1.87944135485168e-06	0	0	22400
1.89322943290206e-06	0	0	37900
1.89846983331435e-06	0	0	52600
1.91487976469957e-06	0	0	28600
1.94526037310094e-06	0	0	26800
1.95646474646173e-06	0	0	40900
1.97033075942458e-06	0	0	41800
1.97727322159103e-06	0	0	68900
1.99389469444561e-06	0	0	34500
1.99573312258392e-06	0	0	177900
2.00756450304748e-06	0	0	13600
2.0091335209864e-06	0	0	28000
2.01144916866806e-06	0	0	12600
2.02021426392483e-06	0	0	70600
2.0416329797225e-06	0	0	38300
2.05517317916794e-06	0	0	107100
2.06840633428756e-06	0	0	17100
2.07046624829445e-06	0	0	33100
2.0957199112253e-06	0	0	61500
2.10817910246383e-06	0	0	17200
2.1233992224112e-06	0	0	145200
2.13469042719425e-06	0	0	14900
2.20168781387812e-06	0	0	50000
2.23918028088277e-06	0	0	50000
2.24570228724778e-06	0	0	114100
2.26799026578578e-06	0	0	10000
2.31111809582358e-06	0	0	28200
2.34821160204388e-06	0	0	41400
2.37026923888284e-06	0	0	13700
2.39751808927398e-06	0	0	45000
3.65483717700376e-06	0	0	18400
3.69908669549488e-06	0	0	28500
3.75871316696016e-06	0	0	26900
3.87439220472288e-06	0	0	20800
3.90755506233527e-06	0	0	19800
3.9078757373673e-06	0	0	34900
3.93432819378927e-06	0	0	33200
3.93700787401575e-06	0	0	16700
3.98848126610349e-06	0	0	12400
4.00054407399406e-06	0	0	50000
4.00377155280274e-06	0	0	15900
4.02637274145654e-06	0	0	24400
4.0419636667886e-06	0	0	50000
4.08045848031485e-06	0	0	20600
4.09834385924648e-06	0	0	12900
4.13105354258497e-06	0	0	17100
4.13194968111678e-06	0	0	15700
